nazev_zastavky;poslední_zastavka;zpozdeni;linka
Kahan;Vodárna;0;53
Pod Lajsníkem;Rudolická,MUS;0;53
Vodárna;18.ZŠ;0;53
Hamr;Janov,Krušnohor;0;60
Horní Lom;Litvínov,Koldům;0;60
Litvínov,mototechna;Litvínov,Máj;0;60
Litvínov,požární stanice;Litvínov,Chudeřín;0;60
Loučná;Horní Lom;0;60
Loučná,konečná;Loučná;0;60
Osek,kolonie;Osek,zbrojnice;0;60
Osek,zbrojnice;Osek,náměstí;0;60
Litvínov,mototechna;Litvínov,Máj;0;60
Osek,zbrojnice;Osek,kolonie;0;60
Janov,sportovní hala;Janov,blok D3;0;60
Litvínov,Máj,věžové domy;Litvínov,mototechna;0;60
Litvínov,Máj,věžové domy;Litvínov,Máj;0;60
Dům peněžnictví;Aquadrom;0.00621118;5
Aquadrom;1.náměstí;0.008064516;30
Most,Souš;Most,sídliště ČD;0.013157895;1
1.náměstí;Obchodní dům PRIOR;0.016129032;18
Velebudická;Kahan;0.016393443;25
Most,1. náměstí;Most,Čs.mládeže;0.024137931;4
Litvínov,Technické služby;Litvínov,stadion;0.025;1
RICO;Děkanský kostel;0.025;16
Krym;Sukova,blok 501;0.025;22
J.Skupy;Nemocnice;0.027522936;22
Most,TESCO;Most,nádraží;0.027777778;2
J.Skupy;Nemocnice;0.03030303;22
Litvínov,Máj,věžové domy;Litvínov,Krušnohor;0.03030303;27
Obchodní dům PRIOR;1.náměstí;0.03030303;31
Chanov,otočka;Most,čistící stanice;0.030769231;10
Komořany,Obránců míru;Komořany,KSK;0.03125;12
Zd.Štěpánka;Dopravní podnik;0.034482759;12
Litvínov,mototechna;Litvínov,sportovní škola;0.035087719;13
Gymnázium;Čs.armády;0.036144578;20
Aquadrom;1.náměstí;0.036410923;5
Benedikt;Vtelno;0.037037037;5
J.Skupy;Luna;0.037037037;17
Litvínov,nádraží;Litvínov,náměstí Míru;0.04;13
Pod Lajsníkem;Rudolická,MUS;0.041666667;22
Litvínov,u dílen;Litvínov,Citadela;0.043165468;4
Most,obchodní dům PRIOR;Most,sportovní hala;0.045454545;40
Sukova,blok 501;Sukova,blok 508;0.046875;22
Nádraží;Rudolická,MUS;0.051612903;10
Sukova,blok 508;Okresní soud;0.052631579;22
Nemocnice;Pod Resslem;0.054054054;22
Pod Resslem;Autodrom;0.055555556;12
Benedikt;Vtelno;0.057142857;25
Lom,Červený kříž;Lom,škola;0.057692308;13
Pod Lajsníkem;Rudolická,MUS;0.059961315;5
Litvínov,obchodní dům;Litvínov,poliklinika;0.0625;3
Most,Čs.mládeže;Most,1. náměstí;0.063829787;2
Sedlec,pivovar;Patokryje,lávka;0.066666667;10
Rudolická,MUS;Pod Lajsníkem;0.069767442;20
Most,Čs.mládeže;Most,Dopravní podnik;0.071090047;4
Most,1. náměstí;Most,Čs.mládeže;0.071428571;40
Záluží,Zdravotní středisko;Záluží,CHEMOPETROL;0.071428571;40
Luna;1.ZŠ;0.075117371;17
Litvínov,mototechna;Litvínov,sportovní škola;0.076502732;13
Kahan;14.ZŠ;0.077669903;17
Most,Souš;Most,sídliště ČD;0.078947368;3
Litvínov,Janáčkova;Hamr,škola;0.081081081;14
Sukova,blok 501;Sukova,blok 508;0.081967213;20
Litvínov,požární stanice;Litvínov,Chudeřín;0.083333333;15
Sever;Nádraží;0.083333333;16
Sukova,blok 508;Sukova,blok 501;0.083916084;22
14.ZŠ;Kahan;0.084639498;17
Hamr;Janov,Krušnohor;0.090909091;60
Most,1. náměstí;Most,Čs.mládeže;0.09375;1
H.Jiřetín,rozcestí;H.Jiřetín,požární zbrojnice;0.095238095;14
Most,Velebudická;Most,Velebudická škola;0.095890411;2
Aquadrom;Kahan;0.095890411;5
Litvínov,Technické služby;Litvínov,poliklinika;0.097560976;1
Zahražany;Široký vrch;0.098765432;20
Most,Čs.mládeže;Most,1. náměstí;0.09929078;2
J.Skupy;Nemocnice;0.100671141;20
Osada Poslušnost;Křížatky;0.101449275;13
Pod Lajsníkem;Rudolická,MUS;0.104225352;22
Krym;Sukova,blok 501;0.105263158;20
Obrnice,sídliště;Obrnice,škola;0.107692308;10
Litvínov,Janáčkova;Hamr,škola;0.108108108;14
H.Jiřetín,pošta;H.Jiřetín,u nádraží;0.110344828;14
Litvínov,nádraží;Litvínov,náměstí Míru;0.110671937;13
Krym;Sukova,blok 558;0.111111111;12
Litvínov,Šumná,průmyslový areál;Litvínov,Šumná;0.111111111;27
Most,TESCO;Most,nádraží;0.111111111;40
Luna;J.Skupy;0.113207547;12
Litvínov,požární stanice;Litvínov,Chudeřín;0.113924051;14
Hamr,škola;Hamr,sídliště;0.116666667;15
Most,Čs.mládeže;Most,1. náměstí;0.117647059;1
Komořany,Nejedlý I;Komořany,Nejedlý II;0.117647059;12
Sever;Nádraží;0.119047619;12
Litvínov,stadion;Litvínov,u dílen;0.12;1
Sukova,blok 558;14.ZŠ;0.12;12
Dům peněžnictví;1.náměstí;0.12086514;30
Sukova,blok 501;Krym;0.124183007;20
Rudolice,rozcestí;Rudolická,MUS;0.125;10
Souš,Vrbenský I;Třebušice,DTS Vrbenský;0.125;12
Hamr,škola;Hamr,sídliště;0.125;14
Rudolice,u mostu;Rudolice,náměstí;0.125;53
Benedikt;Zázvorová;0.125;53
Černice;Černice,mlékárna;0.126666667;14
Obchodní dům PRIOR;J.Skupy;0.127659574;12
Lom,Horní Lom,rozcestí;Horní Lom;0.129032258;13
Most,Čs.mládeže;Most,Dopravní podnik;0.129707113;4
Obrnice,sídliště;Obrnice,škola;0.130434783;10
1.náměstí;Obchodní dům PRIOR;0.132462687;5
Souš,Národního odboje;Souš,Finské domky;0.135802469;22
Okresní soud;Obchodní dům PRIOR;0.137254902;16
Rudolická,MUS;Pod Lajsníkem;0.14084507;22
Vtelenská;Zázvorová;0.142076503;5
