case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);8:03:00;28.10.2023 8:00;2023-10-28 08:00:35.954767;10;True;25.954767;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);8:03:00;28.10.2023 8:00;2023-10-28 08:02:10.771871;25;True;105.771871;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);8:03:00;28.10.2023 8:00;28.10.2023 8:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);8:03:00;28.10.2023 8:00;2023-10-28 08:00:35.954767;25;True;10.954767;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);8:03:00;28.10.2023 8:00;2023-10-28 08:02:10.771871;15;True;115.771871;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);8:03:00;2023-10-28 07:59:14.126438;28.10.2023 8:03;35;True;190.873562;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);8:03:00;2023-10-28 07:59:14.126438;28.10.2023 8:03;0;True;225.873562;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);8:03:00;2023-10-28 07:59:14.126438;2023-10-28 08:00:35.954767;25;True;56.828329;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);8:03:00;2023-10-28 07:59:14.126438;2023-10-28 08:02:10.771871;15;True;161.645433;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);8:03:00;2023-10-28 08:00:15.954767;28.10.2023 8:03;10;True;154.045233;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);8:03:00;2023-10-28 08:00:15.954767;28.10.2023 8:03;25;True;139.045233;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);8:03:00;2023-10-28 08:00:15.954767;28.10.2023 8:02;25;True;79.045233;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);8:03:00;2023-10-28 08:01:50.771871;28.10.2023 8:03;25;True;44.228129;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);8:03:00;2023-10-28 08:01:50.771871;28.10.2023 8:03;15;True;54.228129;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);8:03:00;2023-10-28 08:01:50.771871;28.10.2023 8:02;15;False;-5.771871;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);9:03:00;28.10.2023 9:00;28.10.2023 9:02;35;True;85;Litvínov;0
